xopt_index,xopt_index.2,error,end_n_particle,end_norm_emit_x,end_norm_emit_y,end_higher_order_energy_spread,end_mean_x,end_sigma_x,end_min_x,end_max_x,end_mean_y,end_sigma_y,end_min_y,end_max_y,end_mean_z,end_sigma_z,end_min_z,end_max_z,end_mean_r,end_sigma_r,end_min_r,end_max_r,end_mean_theta,end_sigma_theta,end_min_theta,end_max_theta,end_mean_px,end_sigma_px,end_min_px,end_max_px,end_mean_py,end_sigma_py,end_min_py,end_max_py,end_mean_pz,end_sigma_pz,end_min_pz,end_max_pz,end_mean_pr,end_sigma_pr,end_min_pr,end_max_pr,end_mean_ptheta,end_sigma_ptheta,end_min_ptheta,end_max_ptheta,end_mean_beta_x,end_sigma_beta_x,end_min_beta_x,end_max_beta_x,end_mean_beta_y,end_sigma_beta_y,end_min_beta_y,end_max_beta_y,end_mean_beta_z,end_sigma_beta_z,end_min_beta_z,end_max_beta_z,end_mean_xp,end_sigma_xp,end_min_xp,end_max_xp,end_mean_yp,end_sigma_yp,end_min_yp,end_max_yp,end_mean_energy,end_sigma_energy,end_min_energy,end_max_energy,end_mean_kinetic_energy,end_sigma_kinetic_energy,end_min_kinetic_energy,end_max_kinetic_energy,end_mean_p,end_sigma_p,end_min_p,end_max_p,end_mean_gamma,end_sigma_gamma,end_min_gamma,end_max_gamma,end_mean_t,end_sigma_t,end_min_t,end_max_t,end_z_screen,end_n_particle_loss,end_total_charge,fingerprint,GUNSOLNEW,xopt_index.1,xopt_error,GUNSOLNEW2,PC0,gun_phi_relative,phiC0_relative,r_dist:n_sigma_cutoff:value,t_dist:n_sigma_cutoff:value,t_dist:sigma_t:value,transforms:t2:sigma_xy:value,transforms:t3:sigma_t:value,xopt_runtime,"end_max[sigma_x, sigma_y]",end_norm_emit_4d,end_sqrt_norm_emit_4d,"end_max[norm_emit_x, norm_emit_y]",transforms:t2:sigma_xy:units,transforms:t3:sigma_t:units,total_charge:value,total_charge:units,n_particle,start:MTE:value,start:MTE:units,dz_sol_buncher,dz_sol_linac,PC1,PC2,GBacc,xacc,phiC1_relative,phiC2_relative,n_screens,just_cathode,just_gun,space_charge,apertures_on
14,14,False,100000,4.2245839673449815e-08,4.23253465874143e-08,16464.85085936688,5.795454691633667e-09,0.00014477570947401958,-0.0007095450906011363,0.000720983084453499,2.6213453154282925e-08,0.00014474253138685022,-0.000701049560823915,0.0006818267222214283,4.486422397058824,2.9394546254170585e-16,4.486422397058823,4.486422397058825,0.00018550477982545756,8.659320890589497e-05,1.4479385830549032e-06,0.000733128373243534,0.0012673266754081745,1.8135128959828926,-3.1414849184473472,3.1415572578660456,0.09402739125493607,1573.4406826743036,-7560.944821648687,7782.967243688617,0.44759338181171093,1573.072260785307,-7473.4779161616525,7386.678584900038,154493197.74248812,321038.3140493239,153662669.45415914,154827366.37442845,1982.7835352862141,1007.2144231651507,-971.7222045221671,7804.45083257253,10.816391682108755,65.14362873478308,-608.4236524372908,968.5656425404707,6.085891738787758e-10,1.0191875591858871e-05,-4.9046972130925696e-05,5.048600170208321e-05,2.8981051276134144e-09,1.0189488832788421e-05,-4.847981038502238e-05,4.791609381442355e-05,0.9999945298200121,2.2833000782507066e-08,0.9999944703881235,0.9999945535573938,6.085925029285894e-10,1.0191931425945547e-05,-4.9047241653517956e-05,5.048627912160438e-05,2.898120992085574e-09,1.0189544653795973e-05,-4.848007679225206e-05,4.791635711810631e-05,154494042.84537935,321036.5491423622,153663519.13950026,154828209.65645203,153983043.89537936,321036.5491423622,153152520.18950027,154317210.70645204,154493197.7585207,321038.30846500996,153662669.48874947,154827366.39720824,302.3372999991083,0.6282528548099017,300.7120056499143,302.99124813554323,1.4987939696390052e-08,1.5789122173404784e-12,1.498526375859495e-08,1.4991108992772344e-08,4.486422397058824,0,1.0000000000000382e-10,3b5f6bca08a2c7589701e68e7a31ca7c,169.64538380908337,14,False,104.0291477717194,17.725838608612584,2.904784479919253,-79.61156953443681,0.2584864487973732,0.4591169671442573,2.763327549158108,0.131715319502223,2.763327549158108,8813.350360590965,0.00014477570947401958,1.784654886952432e-15,4.224517590154445e-08,4.23253465874143e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
15,15,False,100000,4.2245839673449815e-08,4.23253465874143e-08,16464.85085936688,5.795454691633667e-09,0.00014477570947401958,-0.0007095450906011363,0.000720983084453499,2.6213453154282925e-08,0.00014474253138685022,-0.000701049560823915,0.0006818267222214283,4.486422397058824,2.9394546254170585e-16,4.486422397058823,4.486422397058825,0.00018550477982545756,8.659320890589497e-05,1.4479385830549032e-06,0.000733128373243534,0.0012673266754081745,1.8135128959828926,-3.1414849184473472,3.1415572578660456,0.09402739125493607,1573.4406826743036,-7560.944821648687,7782.967243688617,0.44759338181171093,1573.072260785307,-7473.4779161616525,7386.678584900038,154493197.74248812,321038.3140493239,153662669.45415914,154827366.37442845,1982.7835352862141,1007.2144231651507,-971.7222045221671,7804.45083257253,10.816391682108755,65.14362873478308,-608.4236524372908,968.5656425404707,6.085891738787758e-10,1.0191875591858871e-05,-4.9046972130925696e-05,5.048600170208321e-05,2.8981051276134144e-09,1.0189488832788421e-05,-4.847981038502238e-05,4.791609381442355e-05,0.9999945298200121,2.2833000782507066e-08,0.9999944703881235,0.9999945535573938,6.085925029285894e-10,1.0191931425945547e-05,-4.9047241653517956e-05,5.048627912160438e-05,2.898120992085574e-09,1.0189544653795973e-05,-4.848007679225206e-05,4.791635711810631e-05,154494042.84537935,321036.5491423622,153663519.13950026,154828209.65645203,153983043.89537936,321036.5491423622,153152520.18950027,154317210.70645204,154493197.7585207,321038.30846500996,153662669.48874947,154827366.39720824,302.3372999991083,0.6282528548099017,300.7120056499143,302.99124813554323,1.4987939696390052e-08,1.5789122173404784e-12,1.498526375859495e-08,1.4991108992772344e-08,4.486422397058824,0,1.0000000000000382e-10,51f5d1bfe5b3507196e96e5185455ff5,169.64538380908337,15,False,104.0291477717194,17.725838608612584,2.904784479919253,-79.61156953443681,0.2584864487973732,0.4591169671442573,2.763327549158108,0.131715319502223,2.763327549158108,8828.30627636239,0.00014477570947401958,1.784654886952432e-15,4.224517590154445e-08,4.23253465874143e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
51,51,False,100000,7.920806754302792e-08,7.93027913466322e-08,23321.17180660686,2.359633099766594e-09,0.0001460807162030555,-0.0004667506266472602,0.0004760817361664877,1.0449736937724065e-08,0.00014608927829482424,-0.0004775647802869796,0.0004735183036051311,4.486422397058824,2.933410089665404e-16,4.486422397058823,4.486422397058825,0.0001859649356729462,8.999275356395138e-05,5.810492136823095e-07,0.00048209619330216464,-0.0013193699639565527,1.8130242154361265,-3.14159190149224,3.1413990970244066,0.009658530354505796,1431.3015027407682,-4620.57078920058,4728.350523149126,0.15852603213181718,1431.5952621601568,-4772.31366496294,4833.180099114849,154261304.41145155,174781.59086900565,153863984.9319433,154452052.28969863,1703.3440919201023,1086.5702765309652,-2147.0577798610375,4853.78632925775,20.445372062221608,125.11969090723271,-2234.496239994138,2279.5070705498847,6.250984133639628e-11,9.284366019408143e-06,-3.0025773566037715e-05,3.072692232143224e-05,1.0282153546001679e-09,9.286272924682485e-06,-3.101204501805141e-05,3.140770570494817e-05,0.9999945134297299,1.2496362476244747e-08,0.9999944850659033,0.9999945270624992,6.251018323429201e-11,9.284417025839064e-06,-3.002593912100223e-05,3.072709175080061e-05,1.0282210028504126e-09,9.28632394160576e-06,-3.101221601359717e-05,3.140787888404806e-05,154262150.77939767,174780.6236254727,153864833.48309147,154452897.61133495,153751151.82939768,174780.6236254727,153353834.5330915,153941898.66133496,154261304.42474306,174781.5833006937,153863984.94401658,154452052.30300638,301.88349854612756,0.3420371482670809,301.10596799287254,302.25678078464733,1.498956216030039e-08,7.821380767869603e-13,1.4988029336709504e-08,1.499123467378272e-08,4.486422397058824,0,1.0000000000000382e-10,ddb619c1e3ae1622e1313f3a8c368bc2,169.04582726407756,51,False,105.16859061152536,20.326188819804884,-3.3206629275116923,-85.38272755307102,0.2738252496121461,0.8843375098412514,1.6267278590698084,0.149409746668793,1.6267278590698084,6999.07963091135,0.00014608927829482424,6.26837506252741e-15,7.917307031135909e-08,7.93027913466322e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
52,52,False,100000,6.772610810064098e-08,6.77611981539528e-08,21931.22475257141,-6.842405978709526e-09,0.00021272172068273964,-0.0006086672975689483,0.0006140653135364166,9.842596027635113e-09,0.00021271506418681855,-0.0006080231722064481,0.0006053520092180681,4.486422397058824,2.947093240208619e-16,4.486422397058823,4.486422397058825,0.000272961440847136,0.00012645268259937594,1.0668671083652986e-06,0.0006332207929142837,-0.001459643797638465,1.8136175717723197,-3.141564486863136,3.1415886303868508,-0.0426174596549198,2204.2960568896565,-6445.784490996425,6435.74520139225,0.16815882681263902,2204.2249354853084,-6455.2057042051365,6769.593684834161,154410826.95441788,297016.0339694111,153782780.0879408,154761161.47391325,2771.78321386732,1425.517032772551,-696.5839367836876,6830.05644758087,6.5308703893316915,51.039739995314754,-796.406401236805,766.9885067433406,-2.760475806466512e-10,1.4286556065127417e-05,-4.187511752804816e-05,4.1812174649864184e-05,1.0901861249010962e-09,1.4286105107540595e-05,-4.17444762809699e-05,4.37787354771739e-05,0.9999945238924568,2.118014192910198e-08,0.9999944791598421,0.9999945489198433,-2.760490926840797e-10,1.428663442502628e-05,-4.187534830901035e-05,4.181240510858501e-05,1.0901921088557214e-09,1.4286183465075877e-05,-4.1744704243130465e-05,4.3778974563219485e-05,154411672.52305198,297014.3932800825,153783629.08771756,154762005.0976485,153900673.573052,297014.3932800825,153272630.13771757,154251006.1476485,154410826.98590884,297016.0212702544,153782780.10057494,154761161.47767076,302.1761052993396,0.5812426684635703,300.9470549552354,302.86168904583565,1.4988560469660772e-08,8.445984699217249e-13,1.4987040512796866e-08,1.4990414993500932e-08,4.486422397058824,0,1.0000000000000382e-10,3ed560d9209b17771c33799d81ae61fe,169.08669105575203,52,False,105.745319809024,35.79772400747082,1.689479789247435,-85.47124602047266,0.7611310515513514,0.8940481750314551,1.9542620101342107,0.1567986530718557,1.9542620101342107,7709.968334989622,0.00021272172068273964,4.586014037150076e-15,6.772011545434692e-08,6.77611981539528e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
17,17,False,100000,4.273992373641802e-08,4.2823946207467786e-08,17338.622986759576,2.7267968797539645e-09,0.0001386064397820177,-0.0006565917305349228,0.0006591185150611429,1.246914759247629e-09,0.0001386018387798058,-0.0006504598925029562,0.0006444192861891971,4.486422397058824,2.8985114525569453e-16,4.486422397058823,4.486422397058825,0.00017715766309684073,8.388907722251968e-05,1.3878833277374352e-06,0.0006819462476609016,-0.00020574953900157934,1.8134447097561628,-3.1415859184878308,3.1415393353203602,0.030287868056083855,1495.5772366114368,-7411.905185982193,7547.862654820685,0.044482259842025876,1495.700592277989,-7344.461641191384,7103.613488158845,154267611.16076323,301817.6994291765,153493764.5646528,154583833.790221,1878.7827105135807,968.9580085688319,-1177.921903227077,7609.678622443827,9.051733152152181,71.31273195974904,-697.6811192254655,1194.7374796118186,1.9616626924569132e-10,9.70212365494967e-06,-4.814852449609511e-05,4.903056664398253e-05,2.8987108750867194e-10,9.702922168506129e-06,-4.771063103872838e-05,4.6145437820708805e-05,0.9999945138284023,2.155816003450957e-08,0.9999944582468793,0.999994536383277,1.961673438740534e-10,9.702176966101056e-06,-4.814878983189547e-05,4.9030836829219285e-05,2.898726953077817e-10,9.702975484025787e-06,-4.771089396268465e-05,4.61456921119287e-05,154268457.49748662,301816.0351445439,153494615.18192753,154584678.39670503,153757458.54748663,301816.0351445439,152983616.23192754,154073679.44670504,154267611.17527476,301817.69372429035,153493764.5962243,154583833.80899122,301.895840485556,0.5906392471932553,300.3814688502345,302.51466934854767,1.498846897545346e-08,1.5294750675020077e-12,1.4985875527331345e-08,1.499156142158987e-08,4.486422397058824,0,1.0000000000000382e-10,87853ffc030529886caafec0a1bf1c30,168.61096239823834,17,False,104.04810972919024,15.98083296592745,2.4992325990182107,-82.15559349183434,0.3909312301750619,0.4569354586304517,2.7586965303262203,0.1373737396451806,2.7586965303262203,8815.07586416509,0.0001386064397820177,1.82830386028216e-15,4.275867000132441e-08,4.2823946207467786e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
36,36,False,100000,6.211288783079563e-08,6.215653558434262e-08,22929.859664126572,4.203503372955845e-09,0.0001789393735610355,-0.0005316393620034854,0.0005368808647543419,1.4065810251311619e-08,0.00017894179106114487,-0.0005317379270498242,0.0005303850240769601,4.486422397058824,2.9220935026299606e-16,4.486422397058823,4.486422397058825,0.00022698689763906197,0.00011187677379285073,6.155714725223796e-07,0.0005540717219830083,-0.0010544300122325482,1.8133351712571675,-3.1415275452647515,3.141587102114096,0.059302369701735094,1746.8457019602445,-5321.652488965569,5269.932770329465,0.21694528541061328,1746.928083451274,-5270.341387697918,5272.009217124444,154281787.0739486,221681.48842192165,153771474.7562336,154519430.23264137,2154.400025480824,1207.2993804797377,-896.6844360843619,5850.795923801582,11.562256786203756,63.896291826857855,-785.0410334093231,698.4160339316431,3.841324923191722e-10,1.1330771757635347e-05,-3.446792119505438e-05,3.423961542713048e-05,1.4070531863894809e-09,1.1331311259371705e-05,-3.424394327136079e-05,3.424505419944815e-05,0.9999945148313604,1.5852857305804934e-08,0.9999944784663118,0.9999945318230321,3.8413459682297273e-10,1.133083400303189e-05,-3.446811000408858e-05,3.423980419127358e-05,1.4070609148703745e-09,1.1331373507787713e-05,-3.424413204166104e-05,3.424524286869262e-05,154282633.33669636,221680.2610741532,153772323.80941087,154520275.20085588,153771634.38669634,221680.2610741532,153261324.85941088,154009276.2508559,154281787.09374267,221681.4782236469,153771474.75985074,154519430.26112068,301.92358191087544,0.43381744928077287,300.92493107747265,302.3886354382057,1.4989260739035108e-08,8.973847976998151e-13,1.498757830544521e-08,1.4991179840319913e-08,4.486422397058824,0,1.0000000000000382e-10,75db995ab2b696299d80ce719f449e76,169.0856578576306,36,False,105.13499344869972,22.12512732453663,-1.825297608486421,-85.1918990183286,0.8247426429537383,0.8284234756951607,1.930961998643267,0.152230566710802,1.930961998643267,7395.795178774744,0.00017894179106114487,3.85358836219156e-15,6.207727734196758e-08,6.215653558434262e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
30,30,False,100000,4.080346301480291e-08,4.0884352613648964e-08,17969.358963844625,5.160052544104767e-09,0.0001304095207212709,-0.0005983005182196851,0.0005917825964481442,3.3807791446827165e-09,0.000130395408428365,-0.0006039738755037129,0.0005899759841879632,4.486422397058824,2.906664806082228e-16,4.486422397058823,4.486422397058825,0.00016616441815297983,7.999369857613271e-05,7.479960491079341e-07,0.0006396588624764767,0.0007873935287673495,1.8135187258378977,-3.141574276393026,3.1414844799008597,0.06209383601625449,1393.25874123693,-6893.239563670605,6742.376235703242,0.046503304796115544,1393.15170171176,-6756.756674552428,6834.06301306036,154523141.1487672,290598.1524032795,153767250.7138119,154820407.25020537,1730.2833601950333,938.5578044983367,-1182.4872238168257,7289.7366104016055,15.859085932472592,83.77840100241481,-1133.0807155916816,1416.016771625317,4.020691082872976e-10,9.022265891770342e-06,-4.469061920343712e-05,4.371426770426934e-05,3.02068414877058e-10,9.021572475572493e-06,-4.380727417788302e-05,4.430663044794524e-05,0.9999945319750786,2.064768781219554e-08,0.9999944779695572,0.9999945530703439,4.020713095939734e-10,9.02231529062788e-06,-4.469086450459897e-05,4.371450766095457e-05,3.020700795480621e-10,9.021621870629741e-06,-4.380751464480273e-05,4.430687363831612e-05,154523986.08377397,290596.5563912127,153768099.81419832,154821250.56543314,154012987.13377395,290596.5563912127,153257100.86419833,154310251.61543316,154523141.1613366,290598.14811236877,153767250.7413147,154820407.26828533,302.3958974549242,0.5686832749680066,300.9166649250421,302.9776295341373,1.4987904502837854e-08,1.4719668996342293e-12,1.498535485287685e-08,1.499084890084789e-08,4.486422397058824,0,1.0000000000000382e-10,9848491006bdd8e4759e36810a976c16,169.67991579241072,30,False,103.94212869984952,17.43986969642912,3.106600500484828,-79.54484018212514,0.4767586140554639,0.4600485432490523,2.529417387277774,0.1318829633084797,2.529417387277774,8737.673957910389,0.0001304095207212709,1.6626957000596556e-15,4.0776165833237133e-08,4.0884352613648964e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
55,55,False,100000,5.2667301904271574e-08,5.2785800941809094e-08,21511.260156678734,-5.717156940316694e-09,0.00016393754701431236,-0.0004944346590365646,0.000494652221060077,7.7140059322157e-09,0.00016394348944996003,-0.000498189773941169,0.0004988508960294088,4.486422397058824,2.8970141819891636e-16,4.486422397058823,4.486422397058825,0.00021010463324307665,9.802566111015552e-05,7.598737421777685e-07,0.0005049127291675796,-0.001253254390860301,1.8134067612537657,-3.1415808665803855,3.1413953370481247,-0.02310020443375469,1659.7309013530569,-5513.344517305096,5395.82581057127,0.13029599279656656,1659.905313105306,-5497.875593741704,5544.358932526092,154289833.08372942,218336.88208164024,153768174.42200205,154516207.7583073,2074.9070356301854,1095.4892601099261,-887.3784525324364,5940.400421286502,13.200745936339214,66.94882877994515,-940.3218256362235,726.6558502317309,-1.49709915734541e-10,1.0762462576481318e-05,-3.572885081377446e-05,3.4966216726849734e-05,8.451667049038301e-10,1.0763597500569844e-05,-3.562990832689189e-05,3.5928457844849536e-05,0.9999945154169831,1.558864719641709e-08,0.9999944781817737,0.999994531597406,-1.4971073670509928e-10,1.0762521663812495e-05,-3.5729046739352754e-05,3.4966408457750353e-05,8.451713484295859e-10,1.0763656594174683e-05,-3.563010372405047e-05,3.5928654850178985e-05,154290679.3003653,218335.67709897042,153769023.5027263,154517052.75125843,153779680.35036528,218335.67709897045,153258024.5527263,154006053.80125844,154289833.10159418,218336.8758841164,153768174.4349431,154516207.79390195,301.9393274690003,0.4272722617120259,300.9184725384001,302.382329261652,1.4988759175856737e-08,9.431630188969372e-13,1.4986993950485592e-08,1.49907556761175e-08,4.486422397058824,0,1.0000000000000382e-10,20ea600a33f531704785317abb31d79e,169.0885443894013,55,False,105.13499344869972,22.36596730119674,1.7444073276691028,-84.99693438186684,0.7670835904828157,0.856803682822953,1.838048469427764,0.1525473218496497,1.838048469427764,7949.746999830939,0.00016394348944996003,2.770914741503962e-15,5.26394789250802e-08,5.2785800941809094e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
42,42,False,100000,5.967767832911104e-08,5.977648942643972e-08,22010.199516320718,4.221559180853792e-09,0.000180959610607022,-0.0005522039615879963,0.0005432861979242606,6.960762083563569e-09,0.0001809652728546802,-0.0005424045839776315,0.000565648120861506,4.486422397058824,2.920203141125483e-16,4.486422397058823,4.486422397058825,0.0002359882400718393,9.901697462800813e-05,1.0101928106416519e-06,0.0005684692924295549,-0.0015711829150325588,1.8133144350673551,-3.1413838700923913,3.1415597471099135,0.048734184515938236,1873.9577579329593,-6134.051556120228,6013.104662284813,0.09633532780614874,1874.1270361351492,-6157.79151513644,6400.256938285068,154243911.17764318,214263.49473363106,153733056.15045077,154466379.22818935,2395.6787999181743,1131.8378627418313,-923.2471691410743,6405.47686545066,9.172170386754688,60.43053137592494,-770.1661711791006,971.8541065698635,3.157898388470007e-10,1.215400112749664e-05,-3.976750385587031e-05,3.898190694879397e-05,6.256238909519372e-10,1.215510141708266e-05,-3.99204169126688e-05,4.149323302175955e-05,0.9999945121201359,1.531316343843332e-08,0.9999944755956572,0.999994528054324,3.157915703046649e-10,1.2154067881207502e-05,-3.976772211202196e-05,3.898212087713711e-05,6.256273366784852e-10,1.2155168176863851e-05,-3.9920635997324776e-05,4.149346075102119e-05,154244757.65106183,214262.31124113163,153733905.42955723,154467224.5003201,153733758.70106187,214262.3112411316,153222906.47955725,153956225.55032012,154243911.20042145,214263.4883361433,153733056.1678169,154466379.27039462,301.8494610430449,0.41930088357545875,300.84974818354766,302.28481780700355,1.4988869887440913e-08,9.42005788429404e-13,1.49871016414773e-08,1.4990863656972456e-08,4.486422397058824,0,1.0000000000000382e-10,53bd5a41a39e5ab7a891701f2ff0ab6f,169.0880566637165,42,False,105.788575494994,21.596355818353945,1.6545167188905818,-85.39279437288138,0.3659211070605623,0.843733874889633,1.8435903456650544,0.1566585431933627,1.8435903456650544,7773.061295543797,0.0001809652728546802,3.562881945562612e-15,5.968988143364511e-08,5.977648942643972e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
37,37,False,100000,5.217250852800317e-08,5.2238596533914016e-08,20157.979987499144,-9.059798951856773e-09,0.00017811950992044495,-0.0005707457964849712,0.0005605766939731519,1.007277283981596e-08,0.00017811397624363338,-0.0005624884952801201,0.0005964388833938745,4.486422397058824,2.890608017027032e-16,4.486422397058823,4.486422397058825,0.00022894385110272934,0.00010505170904563654,5.097737208290516e-07,0.0005966179535094959,-0.0004379891943495239,1.8135675848259385,-3.14156628917358,3.1415753756298783,-0.11462416411418543,1857.100655160572,-6289.746650101623,6103.3790555549795,0.17285221440400497,1857.1008427834824,-6374.284465542707,6620.967795017195,154268374.08844346,237556.2996407502,153701343.8695138,154515459.68433198,2342.293442620382,1186.4029244223204,-813.7630592618236,6623.107286803823,10.671905581970258,60.34953763293428,-867.610634436452,852.3568057808214,-7.428650973791613e-10,1.204333804371895e-05,-4.0760749385640364e-05,3.9551620310614196e-05,1.121244337517354e-09,1.2043344364527777e-05,-4.1308044450584765e-05,4.290729584587569e-05,0.9999945138558112,1.6967750569308688e-08,0.9999944733192057,0.9999945315421156,-7.428691710728781e-10,1.204340417531149e-05,-4.076097291767603e-05,3.955183719604392e-05,1.1212504984061873e-09,1.2043410496210748e-05,-4.13082709804426e-05,4.2907531154056855e-05,154269220.42759997,237554.98849821332,153702193.32298908,154516304.6937554,153758221.47759998,237554.98849821332,153191194.3729891,154005305.7437554,154268374.1108092,237556.29328053407,153701343.88602662,154515459.73230818,301.89733350254426,0.4648835159019668,300.78768913906595,302.38086534963605,1.4988671207093375e-08,9.630367546188407e-13,1.4986894417487376e-08,1.499072406857872e-08,4.486422397058824,0,1.0000000000000382e-10,c24f00d424882a01f8b4255afb42347f,169.08481833445472,37,False,105.1262851552046,24.3903780500136,2.9643751858849097,-85.41638394220952,0.7440031890131119,0.9068418587422888,1.9019884665788704,0.1519539053341062,1.9019884665788704,8037.556492079049,0.00017811950992044495,2.7192863863494767e-15,5.21467773342656e-08,5.2238596533914016e-08,mm,ps,100,pC,100000,5,meV,0.425,0.3,79.5,79.5,5.5,6.0,0,0,10,0,0,1,0
